strike,expiry,lastPrice,optionType
20150.00,8/29/2024,4011.00,call
20200.00,8/29/2024,4251.00,call
20250.00,8/29/2024,4179.45,call
20300.00,8/29/2024,3755.10,call
20350.00,8/29/2024,4082.90,call
20400.00,8/29/2024,3890.30,call
20450.00,8/29/2024,3996.50,call
20500.00,8/29/2024,4066.85,call
20550.00,8/29/2024,3864.75,call
20600.00,8/29/2024,3890.00,call
20650.00,8/29/2024,3628.40,call
20700.00,8/29/2024,3690.00,call
20750.00,8/29/2024,3666.45,call
20800.00,8/29/2024,3200.00,call
20850.00,8/29/2024,3438.05,call
20900.00,8/29/2024,3290.60,call
20950.00,8/29/2024,3492.40,call
21000.00,8/29/2024,3589.95,call
21050.00,8/29/2024,3391.85,call
21100.00,8/29/2024,3040.00,call
21150.00,8/29/2024,3121.75,call
21200.00,8/29/2024,3211.20,call
21250.00,8/29/2024,2890.50,call
21300.00,8/29/2024,3150.00,call
21350.00,8/29/2024,3083.45,call
21400.00,8/29/2024,2740.00,call
21450.00,8/29/2024,2766.05,call
21500.00,8/29/2024,3085.55,call
21550.00,8/29/2024,2712.35,call
21600.00,8/29/2024,2820.00,call
21650.00,8/29/2024,2715.00,call
21700.00,8/29/2024,2762.00,call
21750.00,8/29/2024,2500.00,call
21800.00,8/29/2024,2591.80,call
21850.00,8/29/2024,2410.30,call
21900.00,8/29/2024,2301.00,call
21950.00,8/29/2024,2313.55,call
22000.00,8/29/2024,2599.70,call
22050.00,8/29/2024,2237.90,call
22100.00,8/29/2024,2495.00,call
22150.00,8/29/2024,2028.85,call
22200.00,8/29/2024,2374.50,call
22250.00,8/29/2024,1919.00,call
22300.00,8/29/2024,1977.00,call
22350.00,8/29/2024,1959.70,call
22400.00,8/29/2024,1938.75,call
22450.00,8/29/2024,1867.85,call
22500.00,8/29/2024,2094.25,call
22550.00,8/29/2024,1761.20,call
22600.00,8/29/2024,1590.00,call
22650.00,8/29/2024,1788.60,call
22700.00,8/29/2024,1855.00,call
22750.00,8/29/2024,1541.60,call
22800.00,8/29/2024,1745.15,call
22850.00,8/29/2024,1460.40,call
22900.00,8/29/2024,1656.45,call
22950.00,8/29/2024,1414.00,call
23000.00,8/29/2024,1601.25,call
23050.00,8/29/2024,1229.35,call
23100.00,8/29/2024,1465.00,call
23150.00,8/29/2024,1303.85,call
23200.00,8/29/2024,1414.00,call
23250.00,8/29/2024,958.95,call
23300.00,8/29/2024,1309.45,call
23350.00,8/29/2024,871.25,call
23400.00,8/29/2024,1214.60,call
23450.00,8/29/2024,1090.20,call
23500.00,8/29/2024,1119.95,call
23550.00,8/29/2024,1063.00,call
23600.00,8/29/2024,1025.00,call
23650.00,8/29/2024,924.25,call
23700.00,8/29/2024,925.10,call
23750.00,8/29/2024,877.80,call
23800.00,8/29/2024,835.00,call
23850.00,8/29/2024,785.65,call
23900.00,8/29/2024,741.95,call
23950.00,8/29/2024,694.10,call
24000.00,8/29/2024,653.45,call
24050.00,8/29/2024,609.60,call
24100.00,8/29/2024,566.45,call
24150.00,8/29/2024,524.05,call
24200.00,8/29/2024,484.60,call
24250.00,8/29/2024,443.05,call
24300.00,8/29/2024,405.25,call
24350.00,8/29/2024,370.00,call
24400.00,8/29/2024,334.70,call
24450.00,8/29/2024,300.00,call
24500.00,8/29/2024,267.00,call
24550.00,8/29/2024,236.00,call
24600.00,8/29/2024,211.00,call
24650.00,8/29/2024,184.15,call
24700.00,8/29/2024,157.25,call
24750.00,8/29/2024,138.00,call
24800.00,8/29/2024,116.00,call
24850.00,8/29/2024,97.05,call
24900.00,8/29/2024,83.50,call
24950.00,8/29/2024,67.30,call
25000.00,8/29/2024,55.80,call
25050.00,8/29/2024,46.55,call
25100.00,8/29/2024,35.80,call
25150.00,8/29/2024,30.20,call
25200.00,8/29/2024,23.85,call
25250.00,8/29/2024,18.90,call
25300.00,8/29/2024,15.10,call
25350.00,8/29/2024,13.00,call
25400.00,8/29/2024,9.45,call
25450.00,8/29/2024,9.15,call
25500.00,8/29/2024,8.35,call
25550.00,8/29/2024,6.85,call
25600.00,8/29/2024,6.10,call
25650.00,8/29/2024,5.25,call
25700.00,8/29/2024,5.10,call
25750.00,8/29/2024,5.15,call
25800.00,8/29/2024,3.80,call
25850.00,8/29/2024,3.60,call
25900.00,8/29/2024,3.20,call
25950.00,8/29/2024,2.90,call
26000.00,8/29/2024,3.25,call
26050.00,8/29/2024,2.30,call
26100.00,8/29/2024,2.20,call
26150.00,8/29/2024,2.80,call
26200.00,8/29/2024,2.25,call
26250.00,8/29/2024,2.50,call
26300.00,8/29/2024,2.40,call
26350.00,8/29/2024,2.25,call
26400.00,8/29/2024,2.35,call
26450.00,8/29/2024,2.30,call
26500.00,8/29/2024,2.30,call
26550.00,8/29/2024,2.90,call
26600.00,8/29/2024,2.30,call
26650.00,8/29/2024,2.30,call
26700.00,8/29/2024,2.00,call
26750.00,8/29/2024,1.85,call
20150.00,8/29/2024,2.35,put
20200.00,8/29/2024,2.50,put
20250.00,8/29/2024,2.85,put
20300.00,8/29/2024,2.20,put
20350.00,8/29/2024,3.00,put
20400.00,8/29/2024,2.95,put
20450.00,8/29/2024,3.95,put
20500.00,8/29/2024,3.10,put
20550.00,8/29/2024,2.55,put
20600.00,8/29/2024,2.80,put
20650.00,8/29/2024,3.05,put
20700.00,8/29/2024,3.90,put
20750.00,8/29/2024,2.05,put
20800.00,8/29/2024,3.75,put
20850.00,8/29/2024,2.40,put
20900.00,8/29/2024,3.80,put
20950.00,8/29/2024,2.90,put
21000.00,8/29/2024,3.65,put
